book_wikidata_id,title,author,year,n_pages,n_ratings,n_reviews,rating,summary
Q1035139,Hellblazer: Original Sins,Jamie Delano,1993,224,15410,305,4.08,"In THE FEAR MACHINE, collecting HELLBLAZER #14-22, Constantine looks for a way to reconnect to humanity — but how can such a man ever find inner peace? Constantine finds himself encamped with a new-age pagan group that's tapping into their own psychic abilities — but a defense contractor is out to exploit their powers. Is the company's aim just political, or is it something much more sinister?"
Q1036769,Black Hawk Down,Mark Bowden,1999,496,52254,39,4.29,"""Destined to become a classic of war reporting, this is a brilliant account of the longest sustained firefight involving American troops since the Vietnam War. On October 3, 1993, about a hundred U.S. soldiers were dropped by helicopter into a teeming market in the heart of Mogadishu, Somalia, to abduct two top lieutenants of a Somali warlord. The action was supposed to take an hour. Instead, they spent a long and terrible night fighting thousands of armed Somalis. By morning, eighteen Americans were dead, and more than seventy badly injured. Mark Bowden's gripping narrative is one of the most exciting accounts of modern war ever written--a riveting story that captures the heroism, courage and brutality of battle."""
Q10381238,The Case of the Caretaker's Cat,Erle Stanley Gardner,1985,304,1304,66,3.92,"*Erle Stanley Gardner is cited by the ""Guinness Book of World Records"" as the #1 bestselling writer of all time. <br />In his will, Peter Laxter guaranteed his faithful caretaker a job and a place to live for life. But Laxter's grandson Sam says the deal doesn't include the caretaker's cat. When Perry Mason takes the case, he finds there's much more at stake than an old man's cat -- a million dollars to be exact. And as he investigates, he finds a web of greed and treachery among the heirs. But which one actually pulled off the almost perfect crime?"
Q10381240,The Case of the Curious Bride,Erle Stanley Gardner,1976,244,1897,62,3.87,"After con man Greg Moxley married Rhoda Lorton, he took her money and flew—only to have his plane crash. Years later, Rhoda weds millionaire scion Carl Montaine. But now Moxley has turned up alive and well…. with plans to pocket the Montaine fortune—or else make Rhoda’s bigamy public. Desperate to protect the good name of Montaine, Rhoda seeks out Perry Mason. But before Mason can reel in Moxley, somebody murders the scheming blackmailer. In a case that abounds in lethal twists, Perry Mason suddenly finds himself on a collision course with a cold-blooded killer."
Q10381242,The Case of the Howling Dog,Erle Stanley Gardner,1984,279,1708,74,3.97,"Compared to a juicy murder trial, a case of feuding neighbors isn't exactly Perry Mason's cup of tea. But Arthur Cartright insists that Mason is the only one who can muzzle the howling hound that's driving Cartright crazy. But Perry doesn't realize just <i>how</i> crazy until he meets his client's neighbor. Clinton Foley says Cartright is barking up the wrong tree with his canine com plaint -- and swears that the man is dangerously insane to boot.<br /><br />Mason's not the type to cop out on a client -- but when Cartright draws up a will that leaves everything to his neighbor's wife, even Perry had to wonder if the man has slipped from anger to madness. That's why he pays a personal visit to Clinton Foley's house, where he finds one missing wife, one poisoned dog, and one corpse...."
Q10381304,The Daffodil Mystery,Edgar Wallace,2001,236,552,37,3.42,"Odette Rider is fired by Thornton Lyne after rejecting his favors. Jack Tarling, a detective who has been working in China and just returned to London, visits his cousin Thorton Lyne at his store to discuss his cashier Milburgh's embezzlement. In his anger with Odette, Lyne decides to try to blame her for the embezzlement instead. Tarling immediately falls in love with Odette. Lyne is found dead in the park with one of Odette's nightgowns wrapped around his gunshot wound and it doesn't look good for Odette. However, Tarling is determined to prove her innocent."
Q104092261,The Last Jews in Berlin,Leonard Gross,1982,325,1638,90,4.285,
Q104119645,Be With You,Takuji Ichikawa,2006,250,1801,27,3.92,"When Takumi's wife suddenly returns from the grave, he can't believe his eyes. As he starts digging deeper and deeper into the mystery of her sudden reappearance, he discovers a secret that is somehow linked to the past...and the future. Is it possible to experience first love for a second time? Without question, the answer is yes!<p></p>"
Q1041621,"Hell Screen (""Jigoku Hen""): And Other Stories",Ryūnosuke Akutagawa,1970,177,5,1,3.2,
Q1042011,Night Watch (Watch #1),Sergei Lukyanenko,2006,455,38900,1397,3.98,
Q104407058,Oliver's Story,Erich Segal,1977,336,5809,214,3.2,"Oliver Barrett IV found his true soulmate when he met and fell in love with Jenny Cavilleri. Their love was magical, exhilarating . . . and though heartbreakingly brief, it was enough to last a lifetime. Or so Oliver told himself.<br /><br />Two years have passed since Jenny was taken from him, and Oliver truly believes he will never love again. Then one day, Marcie—beautiful and mysterious—enters his world . . . and suddenly the future holds a golden new promise.<br /><br />The poignant and unforgettable sequel to the beloved classic <em>Love Story</em> is a beautiful tale of one man's journey out of the lonely darkness of grief and back into love's warm embrace— a story that will capture your heart as only Erich Segal can."
Q1045464,The Age of Innocence,Edith Wharton,1962,313,139594,125,3.95,"Al amable mundo de convenciones sociales estrictas en el que se mueve, aparentemente sin roces ni contrariedades, la alta sociedad de nueva york de finales del siglo pasado, regresa de Europa la inquietante condesa Olenska. En el fondo de esta extraordinaria historia de una gran pasión subyace el conflicto entre dos mundos : el de las viejas familias « patricias» norteamericanas y el de los nuevos ricos, quienes, al terminar la novela, se han apoderado ya de las costumbres y de los espíritus. Martin Scorsese extrajo de La edad dela inocencia una bellísima película que protagonizaron Michelle Pfeiffer, en el papel de la condesa Olenska, Daniel Day-Lewis y Winona Ryder."
Q1047711,"Casino Royale (James Bond, #1)",Ian Fleming,1964,181,67155,2871,3.73,"""Casino Royale"" is the first of Ian Fleming's James Bond novels and sees the British agent dispatched to France to ruin an enemy agent at cards ... Introducing James Bond: charming, sophisticated, handsome; chillingly ruthless and very deadly. Spymaster M has sent Bond on a mission to neutralize a lethal, high-rolling Russian operative called simply 'Le Chiffre' - by ruining him at the baccarat table and forcing his Soviet spymasters to 'retire' him. It seems that lady luck is taken with James - Le Chiffre has hit a losing streak. But some people just refuse to play by the rules, and Bond's attraction to a beautiful female agent leads him to disaster and an unexpected saviour."
Q10483376,A Little Princess,Frances Hodgson Burnett,1981,232,269282,4455,4.2,"Frances Hodgson Burnett's enduring tale, brought to life in a new book-plus-audio edition. <br />In one of the best-loved classic tales for children, Sara Crewe is sent to England to attend Miss Minchin's boarding school for girls. Her time there starts wonderfully as she is treated just like a princess. Unfortunately it is because Miss Minchin is hoping to gain a piece of Sara's family fortune. <br />But when Sara's wealthy father dies and leaves her penniless, Miss Minchin makes Sara do the worst chores in the house. Still, as badly as Miss Minchin treats Sara, with a little help from her friends and her imagination, Sara is determined to find happiness no matter what. <br />A Little Princess is read by Royal Shakespeare actor Lucy Whybrow, with music and effects to set the mood. <br />With the included audio you can HEAR the entire book, word for word, READ ALONG with the audio, or READ the story on your own. <br />Each HEAR IT READ IT classic presents the world's greatest stories in an easy-to-read abridged format. The included audio contains a dramatic reading-with music and sound effects-that match the text, word for word, so children of all ages and reading levels can read along."
Q104835706,The Milagro Beanfield War,John     Nichols,1978,539,9765,399,4.095,"<div>Joe Mondragon, a feisty hustler with a talent for trouble, slammed his battered pickup to a stop, tugged on his gumboots, and marched into the arid patch of ground. Carefully (and also illegally), he tapped into the main irrigation channel. And so began-though few knew it at the time-the Milagro beanfield war. But like everything else in the dirt-poor town of Milagro, it would be a patchwork war, fought more by tactical retreats than by battlefield victories. Gradually, the small farmers and sheepmen begin to rally to Joe's beanfield as the symbol of their lost rights and their lost lands. And downstate in the capital, the Anglo water barons and power brokers huddle in urgent conference, intent on destroying that symbol before it destroys their multimillion-dollar land-development schemes. The tale of Milagro's rising is wildly comic and lovingly ter, a vivid portrayal of a town that, half-stumbling and partly prodded, gropes its way toward its own stubborn salvation.<br /></div>"
Q1048916,Cyrano de Bergerac,Edmond Rostand,1950,220,72272,22,4.07,"Burnunuz ne kocaman!..<br /><br />Evet... Pek kocaman!.. Hepsi bu mu?<br />...<br />Bu kadarı az delikanlı! Halbuki neler, neler bulunmaz söylenecek! Asıl iş edada. Mesela bak,<br />...<br />''Burnum böyle olsaydı, mösyö, mutlak dibinden kestirirdim!''<br />...<br />''Yana yatmaz mı? Senden önce davranıp kadehine batmaz mı?''<br />...<br />''Burun değil bir kere, coğrafyada böylesine dağ denir, dağ değil, yarımada!''<br />...<br />'Acaba neye yarar bu alet? Makas kutusu mudur, divit midir, izah et!''<br />...<br />''Kuşları sevdiğiniz besbelli! Yorulmasın diye yavrucaklar, temelli bir tünek kurmuşsunuz!''<br />...<br /><br />(Arka Kapak)"
Q10503788,The Night of the Generals,Hans Hellmut Kirst,1981,469,439,0,3.85,
Q10503922,Short Cuts,Raymond Carver,1993,157,5226,235,4.11,"<i>'</i>I look at all of Carver's work as just one story, for his stories are all occurences, all about things that just happen to people and cause their lives to take a turn ... In formulating the mosaic of the film <i>Short Cuts</i>, which is based on these nine stories and a poem, 'Lemonade', I've tried to do the same thing - to give the audience one look ... But it all began here. I was a reader turning these pages. Trying on these lives.' - Robert Altman in his introduction."
Q1052412,Cecilia Valdés,Cirilo Villaverde,2014,502,235,0,3.8,
Q1053313,Jerusalem Delivered,Torquato Tasso,2000,508,1038,32,3.875,"Arguably the greatest Italian poet after Dante, Torquato Tasso was born in Sorrento in 1544 and died in Rome in 1595, having served as the court poet in Ferrara, been confined for years in a madhouse after attacking a servant with a knife, and composed one of the great works of Renaissance literature. <br /><br />Unjustly neglected today, Tasso's epic poem 'Jerusalem Delivered'(first published in 1581) is set in the 11th century and tells the story of the First Crusade and the siege which gave Christian armies control over Jerusalem and the Holy Lands for a time.<br /><br />As in other epic poems, 'Jerusalem Delivered' deftly mixes history and myth. Tasso's heroes - Godfrey, leader of the Christian armies; Rinaldo, bravest of the Christian warriors; and Tancred, the Italian prince who falls in love with the pagan warrioress Clorinda, whom he eventually (and<br />simultaneously) converts and kills - must face not only the Saracens and their allies, but also a host of fearsome and manipulative devils, demons, and sorcerers. <br /><br />This is a sweeping and often thrilling tale of war, faith, love, and sex that easily rivals its classical predecessors. Writing at a time when Christianity was bitterly divided, Tasso was naturally concerned with the nature of leadership and loyalty, with the importance of sacrifice, with the evils of corruption, and with the existence of truth, themes that continue to resonate today. <br /><br />No wonder that for three centuries, 'Jerusalem Delivered' was considered the great modern epic. Indeed, Spenser borrowed scenes and episodes from this poem in writing the 'Faerie Queen', and Milton was greatly influenced by Tasso when writing his own Christian epic, 'Paradise Lost'.<br /><br />English-language readers who are familiar with Tasso's grand romance have until now known it only through a verse translation by English poet Edward Fairfax published in 1600. In order to fit Tasso's stanzas into the then popular Spenserian verse form, Fairfax had to alter the original poem considerably. <br /><br />Now, 400 years later, Anthony Esolen presents a new translation that transforms 'Jerusalem Delivered' into an English-language masterpiece. The first major verse translation into English since Fairfax's, Esolen's version is both more true to its original source and more fluid than that of his<br />Elizabethan predecessor. <br /><br />Esolen has translated 'Jerusalem Delivered' with the care of poet, capturing the delight of Tasso's descriptions, the different voices of its cast of characters, the shadings<br />between glory and tragedy, and does them all in an English as powerful as Tasso's Italian. <br /><br />Esolen's will immediately be acclaimed as the definitive translation of this powerful work of faith and war. Like the<br />Fagles 'Iliad' and 'Odyssey', the Pinsky 'Inferno', and Seamus Heaney's imaginative new rendering of 'Beowulf', Anthony Esolen's bold, fast-moving, and faithful translation of Tasso's<br />Crusade-era adventure will introduce a new generation of readers to a masterpiece of world literature."
Q10533247,I taket lyser stjärnorna,Johanna Thydell,2003,224,2155,60,3.56,
Q105388971,Fifty Dead Men Walking,Martin McGartland,2000,368,1392,0,4.13,"For more than four years, Martin McGartland lived a double-life. To the IRA, he was a trusted intelligence officer and an integral member of an active-service unit. To the British Government, however, he was known only as 'Agent Carol'. McGartland is credited by British Intelligence with having saved the lives of at least fifty people. Working within the ruthless network of the IRA, every time he tipped off the authorities, he saved a life, but with each success came a higher risk of detection. He continued to pass on life-saving information until, one day, his cover was blown. . ."
Q105393993,Compulsion,Meyer Levin,1996,416,780,19,4.1,
Q10542382,Mr. Midshipman Hornblower,C.S. Forester,1950,310,13617,636,4.15,"In this, the first book of the classic Hornblower saga, we meet the indomitable young Horatio, and discover firsthand how he rode the seas to become the sterling old seadog of the Royal Navy and one of the greatest fictional heroes of all time.<br /><br />It is 1793, the time of the Napoleonic Wars, and Midshipman Hornblower is a shy lad of but seventeen years. England is at war with France, and Spain is about to join the fray. In an exciting series of exploits—through storm, fire and blood—our fighting young sailor finally winds his commission as junior lieutenant. It is already clear that Horatio Hornblower is destined to become a legend in his time.<br /><br />Come aboard HMS <i>Indefatigable</i> for a voyage into those illustrious days when the great wooden ships were manned by heroic men of iron..."
Q1054767,Naoko,Keigo Higashino,2004,288,3155,237,3.86,
Q105530874,Nowhere in Africa: An Autobiographical Novel,Stefanie Zweig,2004,304,918,42,3.68,"<i>Nowhere in Africa </i>is the extraordinary tale of a Jewish family who flees the Nazi regime in 1938 for a remote farm in Kenya. Abandoning their once-comfortable existence in Germany, Walter Redlich, his wife Jettel, and their five-year-old daughter, Regina, each deal with the harsh realities of their new life in different ways. Attorney Walter is resigned to working the farm as a caretaker; pampered Jettel resists adjustment at every turn; while the shy yet curious Regina immediately embraces the country—learning the local language and customs, and finding a friend in Owuor, the farm's cook. As the war rages on the other side of the world, the family’s relationships with their strange environment become increasingly complicated as Jettel grows more self-assured and Walter more haunted by the life they left behind. In 1946, with the war over, Regina's fondest dream comes true when her brother Max is born. Walter's decision, however, to return to his homeland to help rebuild a new Germany puts his family into turmoil again.<br /><br />Visit the Web site for the film at <a target=""_blank"" rel=""noopener nofollow"" href=""http://www.nowhereinafrica.com"">www.nowhereinafrica.com</a>"
Q10586664,My Life as a Dog,Reidar Jönsson,1990,224,212,9,3.895,"Thirteen-year-old Ingemar Johansson is a survivor. Things have never been easy. But, he figures, they could always be worse.<br /><br />With his father usually away at sea, and his mother dying of tuberculosis and often too weak to care for him, Ingemar has spent much of his life in foster homes, or the Children’s Home, or with his grandparents – with whoever would take him. In this wry first-person narrative, Ingemar tells of his life with his aunt and uncle in Småland, where he goes to live off and on for two years, one before and one after his mother’s death.<br /><br />In Småland, Ingemar finds more of a family than he’s ever known, as well as a cast of comic village eccentrics, with whom he decides he fits in perfectly. There’s the tomboy Saga, who teaches him how to box and introduces him to the mysteries of female adolescence; and Manne, who has green hair because his inventor grandfather makes him bathe in a copper tub. Together with the people of Småland, we watch as Ingemar falls into one outrageous situation after another, always displaying irresistible humour and the fortitude of a true hero.<br /><br />In turns tragic and farcical, and imbued with an acute sense of the absurd, Ingemar’s story is one of a valiant, wacky, and often hilarious struggle to make sense of life and of his mother’s illness.<br />"
Q10588967,Murder on the Thirty-first Floor (Inspector Jensen #1),Per Wahlöö,1982,207,556,30,3.44,"When the nation's sole publishing conglomerate receives a mysterious bomb threat, Chief Inspector Jensen is ordered to find a culprit within a week--or else. As his investigation begins to reveal the unsavory secrets of a growing list of suspects, Jensen realizes that he has uncovered a tragic story of betrayal and death in which he will play the central role."
Q1059553,Zorba the Greek,Nikos Kazantzakis,1975,315,35949,115,4.07,Portrait of a modern hero whose capacity to live each moment to its fullest is revealed in a series of adventures in Crete.
Q1060471,The Adventure of the Speckled Band (The Adventures of Sherlock Holmes #8),Arthur Conan Doyle,2000,61,8064,4,4.08,Part of the High Impact series this classic text is retold in an accessible style for those with a reading age of six to seven years. Can Sherlock Holmes solve the mystery of the death of Helen's sister in time to save Helen's own life?
Q1060522,Oscar and Lucinda,Peter Carey,1989,515,19443,587,3.73,"Peter Carey's Booker Prize winning novel imagines Australia's youth, before its dynamic passions became dangerous habits. It is also a startling and unusual love story. <br /><br />Oscar is a young English clergyman who has broken with his past and developed a disturbing talent for gambling. A country girl of singular ambition, Lucinda moves to Sydney, driven by dreams of self-reliance and the building of an industrial Utopia. Together this unlikely pair create and are created by the spectacle of mid-nineteenth century Australia. <br /><br />Peter Carey's visionary brilliance, and his capacity to delight and surprise, propel this story to its stunning conclusion."
Q1061284,Captain Pantoja and the Special Service,Mario Vargas Llosa,1978,254,8484,27,3.965,"Pantaleón Pantoja, un capitán del ejército recientemente ascendido, recibe la misión de establecer un servicio de prostitución para las Fuerzas Armadas del Perú en el más absoluto secreto militar. Estricto cumplidor del deber que le ha sido asignado, Pantaleón se traslada a Iquitos, en plena selva, para llevar a cabo su cometido, pero se entrega a esta misión con tal obcecación que termina por poner en peligro el engranaje que él mismo ha puesto en movimiento. Así arranca esta novela, publicada en 1973 y llevada posteriormente al cine."
Q106160501,Angels & Insects,A.S. Byatt,1993,298,5228,252,3.64,"In these breathtaking novellas, A.S. Byatt returns to the territory she explored in ""Possession"": the landscape of Victorian England, where science and spiritualism are both popular manias, and domestic decorum coexists with brutality and perversion. Angels and Insects is ""delicate and confidently ironic.... Byatt perfectly blends laughter and sympathy �with� extraordinary sensuality"" (""San Francisco Examiner""). ""From the Trade Paperback edition."""
Q1062201,The Old Capital,Yasunari Kawabata,1987,164,3993,8,3.77,"Never before translated into English, this novel from Nobel Prize-winning Japanese author Kawabata tells the story of an adopted girl who accidentally meets her unknown twin sister."
Q1062365,Hunger,Knut Hamsun,1976,242,42112,117,4.05,"A true classic of modern literature that has been described as ""one of the most disturbing novels in existence"" (<i>Time Out</i>), <i>Hunger</i> is the story of a Norwegian artist who wanders the streets, struggling on the edge of starvation. As hunger overtakes him, he slides inexorably into paranoia and despair. The descent into madness is recounted by the unnamed narrator in increasingly urgent and disjointed prose, as he loses his grip on reality.<br /><br />Arising from Hamsun's belief that literature ought to be about the mysterious workings of the human mind -- an attempt, he wrote, to describe ""the whisper of the blood and the pleading of the bone marrow"" -- <i>Hunger</i> is a landmark work that pointed the way toward a new kind of novel.<br /><br />""The whole modern school of fiction in the twentieth century stems from Hamsun. They were all Hamsun's disciples: Thomas Mann and Arthur Schnitzler . . . and even such American writers are Fitzgerald and Hemingway."" —Isaac Bashevis Singer"
Q10632121,Pippi in the South Seas,Astrid Lindgren,1959,128,16850,178,4.11,"""Any reappearance of the irrepressible Pippi Longstocking is cause for celebration. This installment is no exception."" -<i>The New York Times</i><br />Alternate cover edition: <i>
  <a href=""https://www.goodreads.com/book/show/42038603-pippi-in-the-south-seas"" rel=""nofollow"">here</a>
</i>"
Q1064945,If Only It Were True,Marc Levy,2000,211,16385,373,3.68,"A timeless story about love's astonishing power to overcome even the most daunting obstacles, If Only It Were True is sure to captivate the fans of the phenomenal bestsellers The Horse Whisperer and The Notebook."
Q1066781,Charley's Aunt,Brandon    Thomas,1988,121,214,23,3.77,"Charley's Aunt is a farce in three acts written by Brandon Thomas. It broke all historic records for plays of any kind, with an original London run of 1,466 performances.<br />The play was first performed at the Theatre Royal, Bury St Edmunds in February 1892."
Q106764069,Ride the Pink Horse,Dorothy B. Hughes,1988,160,334,50,3.91,"The weasely ex-Senator owes Sailor money, and Sailor arrives in Santa Fe to collect--any way he can. No one can stop him; no one can convince him to let things lie--until it is too late. Ride the Pink Horse mixes tension and sudden violence into the gaiety of Fiesta with stunning effect."
Q1072975,The Housekeeper and the Professor,Yōko Ogawa,2009,180,31006,3936,3.96,"He is a brilliant math Professor with a peculiar problem--ever since a traumatic head injury, he has lived with only eighty minutes of short-term memory. <br /><br />She is an astute young Housekeeper, with a ten-year-old son, who is hired to care for him. <br /><br />And every morning, as the Professor and the Housekeeper are introduced to each other anew, a strange and beautiful relationship blossoms between them. Though he cannot hold memories for long (his brain is like a tape that begins to erase itself every eighty minutes), the Professor’s mind is still alive with elegant equations from the past. And the numbers, in all of their articulate order, reveal a sheltering and poetic world to both the Housekeeper and her young son. The Professor is capable of discovering connections between the simplest of quantities--like the Housekeeper’s shoe size--and the universe at large, drawing their lives ever closer and more profoundly together, even as his memory slips away. <br /><br />The Housekeeper and the Professor is an enchanting story about what it means to live in the present, and about the curious equations that can create a family."
Q107360094,Sweet William,Beryl Bainbridge,1975,182,163,12,3.49,"Genteel, passive Ann works for the BBC in London and is engaged to a successful academic, fulfilling her mother's ambitions - while the Swinging Sixties happen elsewhere, to other people. Then she meets William: snub-nosed and generous, cunning and protean. She is first seduced then transfixed as William's past, present and future swirl around her kaleidoscopically, overwhelmingly, and Ann herself is irrevocably changed."
Q107376663,Miss Evers' Boys,David Feldshuh,1995,101,68,11,3.79,
Q1074256,"Bright Lights, Big City",Jay McInerney,1984,192,28237,1230,3.77,"Award-winning author McInerney's bestseller portrays the world of young people of the 1980s against a background of fast-paced New York night clubs, cocaine and casual intimacy."
Q107521621,The Prisoner of Second Avenue,Neil Simon,1972,87,296,14,3.58,
Q107719019,The Whale Rider,Witi Ihimaera,1992,137,7463,31,3.84,"A mystical story of Maori culture The birth of a daughter, Kahu, breaks the lineage of a Maori tribe. Rejected by her grandfather, Kahu develops the ability to communicate with whales, echoing those of the ancient Whale Rider after whom she was named. <br /><br />This magical and mythical novel tells of the conflict between tradition and heritage, from the perspective of Kahu's grandfather, and Kahu's destiny to secure the tribe's future. Age 11+ Ideal for studying multi-cultural texts, gender and environmental issues. <br /><br />The beautifully poetic style and twin narrative lends itself to the analysis of language. To automatically receive all the latest news on New Windmills, why not sign-up for our Heinemann Literature eNewsletter?"
Q1083331,The Defense,Vladimir Nabokov,1970,256,9405,9,3.95,"A chilling story of obsession and madness. Luzhin, a distracted, withdrawn boy, takes up chess as a refuge from everyday life. As he rises to the heights of grandmaster, the game of chess gradually supplants the world of reality as he moves inexorably towards madness."
Q1083795,Cosmopolis,Don DeLillo,2003,221,14777,41,3.22,"Avril 2000. Eric Packer, golden boy comblé qui dirige une influente société de courtage, traverse New York dans sa limousine. Il pose sur le monde qui l'entoure un regard désenchanté, tout en parcourant la ville que paralysent progressivement une série de manifestations collectives. Dans cette atmosphère d'apocalypse, reviennent le hanter des souvenirs qui le conduisent à reconsidérer son existence et à s'interroger sur la personne qu'il est désormais. Mais il est trop tard : l'homme postmoderne qui voulait se suffire à lui-même n'a plus accès à la réalité qui le frappe alors de plein fouet."
Q108464841,The Old Garden,Hwang Sok-yong,2009,480,159,13,3.92,"Political prisoner Hyun Woo is freed after eighteen years to find no trace of the world he knew. The friends with whom he shared utopianist dreams are gone. His Seoul is unrecognizably transformed and aggressively modernized. Yoon Hee, the woman he loved, died three years ago. A broken man, he drifts toward a small house in Kalmoe, where he and Yoon Hee once stole a few fleeting months of happiness while fleeing the authorities. In the company of her diaries, he relives and reviews his life, trying to find meaning in the revolutionary struggle that consumed their youth-a youth of great energy and optimism, victim to implacable history. Hyun Woo weighs the worth of his own life, spent in prison, and that of the strong-willed artist Yoon Hee, whose involvement in rebel groups took her to Berlin and the fall of the wall. With great poignancy, Hwang Sok-yong grapples with the immortal questions-the endurance of love, the price of a commitment to causes-while depicting a generation that sacrifi ced youth, liberty, and often life, for the dream of a better tomorrow. Born in 1943, Hwang Sok-yong is a Korean writer of world renown and the recipient of numerous international awards and honors. His work, which grapples with the troubled recent history of his divided country, has been the cause of his imprisonment, his exile, and finally that rare achievement of a wide readership and appreciation in both North and South Korea. The Old Garden is, by the author's own admission, his most deeply auto biographical work."
Q108558054,"Goodbye, Columbus",Philip Roth,1960,216,16727,8,3.86,"Neil Klugman and pretty, spirited Brenda Patimkin - he of poor Newark, she of suburban Short Hills - meet one summer and dive into an affair that is as much about social class and suspicion as it is about love. The novella, the first book published by Phillip Roth, explores issues of both class and Jewish assimilation into American culture. It won the National Book Award in 1960.<br /><br />©1993 Phillip Roth (P)2009"
